prices.amountMax,prices.amountMin,Disponibilidad,Estado,prices.isSale,Tienda Precio,Envios,Categoria Principal,secondary category
59.95,59.95,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
69.99,69.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
599.99,599.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
599.0,599.0,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
399.0,399.0,In Stock,New,0,ebay,Free Standard Shipping,TV and accessories,TV and accessories
499.0,499.0,In Stock,New,1,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
599.98,599.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
399.0,399.0,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
499.98,499.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
399.98,399.98,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
349.98,349.98,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
599.98,599.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
599.0,599.0,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
21.99,21.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
19.14,19.14,In Stock,New,0,walmart,Free Standard Shipping,Computer and accessories,Computer
24.99,24.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
18.95,18.95,In Stock,New,0,walmart,Free Standard Shipping,Computer and accessories,Computer
24.99,24.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
11.99,11.99,In Stock,New,0,walmart,Free Expedited Shipping,Computer and accessories,Computer
39.99,39.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
22.99,22.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
27.99,27.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
20.99,20.99,In Stock,New,1,bestbuy,Free Standard Shipping,Computer and accessories,Computer
39.99,39.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
23.99,23.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
33.99,33.99,In Stock,New,1,bestbuy,Free Standard Shipping,Computer and accessories,Computer
26.99,26.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
19.99,19.99,In Stock,New,1,bestbuy,Free Standard Shipping,Computer and accessories,Computer
24.99,24.99,In Stock,New,0,bestbuy,Free Standard Shipping,Computer and accessories,Computer
